X1,X2,X3,Y1,Y2,Y3
66.23,99.65,74.46,806.75,5.89,74.7
56.1,99.79,74.43,1239.71,5.565,75.13
77.31,99.89,68.64,340.37,5.92,75.64
66.88,99.96,67.79,485.66,4.24,74.95
62.84,99.86,66.62,280.68,4.515,73.73
68.64,99.69,64.81,1045.68,4.32,73.18
59.83,99.81,63.41,288.46,3.315,74.3
59.25,99.4,64.54,970.67,4.205,72.48
77.5,99.39,68.96,68.69,4.225,74.09
62.52,99.77,78.97,142.5,7.205,79.08
70.99,99.88,88.1,477.83,7.05,83.55
60.02,99.81,66.47,3888.6,7.665,74.24
64.4,98.66,58.35,3791.5,5.185,73.39
85.09,99.07,89.69,448.47,3.635,81.09
75.18,98.27,68.65,4188.81,4.605,74.65
52.5,99.88,70.07,826.13,7.745,75.77
62.7,99.42,76.51,193.78,3.21,78.01
66.32,94.32,63.66,751.23,3.265,72.37
60.53,97.88,43.46,1141.11,3.12,68.4
67.08,98.1,55.58,353.35,4.785,70.47
66.68,99.93,63.93,142.17,3.97,73.73
71.29,99.89,68.35,188.93,4.13,74.66
68.77,99.9,73.63,231.07,5.84,78.2
65.39,99.14,59.5,47.97,4.055,72.88
59.15,99.97,67.57,189,6.145,75.04
63.94,99.17,55.69,395.66,3.22,71.66
86.74,97.39,67.41,788.85,4.795,74.6
67.53,98.62,68.28,321.53,3.405,72.94
70.39,99.3,46.19,183.71,3.065,71.25
62.73,97.08,54.79,164.14,2.655,69.8
63.97,99.76,75.01,301.61,6.195,72.75
57,99.94,64.61,83.8,4.455,70.98
64.29,98.67,59.99,214.98,5.455,67.47
47.57,84.83,39.5,915.15,3.08,63.01
